seq,condition,counter,rtt_ms,resp_type,req_bytes,unix_time
87,unsigned,,88.000,255,7,1787088349.229
87,signed,330087,129.000,3,79,1787088349.362
88,unsigned,,87.000,255,7,1787088349.452
88,signed,330088,132.000,3,79,1787088349.586
89,unsigned,,89.000,255,7,1787088349.678
89,signed,330089,128.000,3,79,1787088349.810
90,unsigned,,91.000,255,7,1787088349.903
90,signed,330090,132.000,3,79,1787088350.037
91,unsigned,,89.000,255,7,1787088350.129
91,signed,330091,129.000,3,79,1787088350.261
92,unsigned,,89.000,255,7,1787088350.352
92,signed,330092,131.000,3,79,1787088350.486
93,unsigned,,92.000,255,7,1787088350.580
93,signed,330093,136.000,3,79,1787088350.719
94,unsigned,,90.000,255,7,1787088350.811
94,signed,330094,129.000,3,79,1787088350.943
95,unsigned,,91.000,255,7,1787088351.037
95,signed,330095,132.000,3,79,1787088351.170
96,unsigned,,92.000,255,7,1787088351.264
96,signed,330096,136.000,3,79,1787088351.402
97,unsigned,,92.000,255,7,1787088351.494
97,signed,330097,131.000,3,79,1787088351.627
98,unsigned,,88.000,255,7,1787088351.717
98,signed,330098,131.000,3,79,1787088351.851
99,unsigned,,92.000,255,7,1787088351.945
99,signed,330099,132.000,3,79,1787088352.079
100,unsigned,,88.000,255,7,1787088352.170
100,signed,330100,134.000,3,79,1787088352.305
101,unsigned,,91.000,255,7,1787088352.399
101,signed,330101,129.000,3,79,1787088352.529
102,unsigned,,90.000,255,7,1787088352.622
102,signed,330102,131.000,3,79,1787088352.754
103,unsigned,,91.000,255,7,1787088352.848
103,signed,330103,131.000,3,79,1787088352.982
104,unsigned,,90.000,255,7,1787088353.075
104,signed,330104,130.000,3,79,1787088353.206
105,unsigned,,89.000,255,7,1787088353.298
105,signed,330105,129.000,3,79,1787088353.431
106,unsigned,,88.000,255,7,1787088353.522
106,signed,330106,131.000,3,79,1787088353.654
107,unsigned,,89.000,255,7,1787088353.744
107,signed,330107,128.000,3,79,1787088353.875
108,unsigned,,89.000,255,7,1787088353.965
108,signed,330108,131.000,3,79,1787088354.099
109,unsigned,,90.000,255,7,1787088354.191
109,signed,330109,132.000,3,79,1787088354.325
110,unsigned,,91.000,255,7,1787088354.418
110,signed,330110,131.000,3,79,1787088354.552
111,unsigned,,90.000,255,7,1787088354.644
111,signed,330111,132.000,3,79,1787088354.777
112,unsigned,,87.000,255,7,1787088354.867
112,signed,330112,130.000,3,79,1787088354.998
113,unsigned,,88.000,255,7,1787088355.089
113,signed,330113,129.000,3,79,1787088355.220
114,unsigned,,89.000,255,7,1787088355.312
114,signed,330114,129.000,3,79,1787088355.445
115,unsigned,,88.000,255,7,1787088355.536
115,signed,330115,130.000,3,79,1787088355.668
116,unsigned,,91.000,255,7,1787088355.761
116,signed,330116,130.000,3,79,1787088355.894
117,unsigned,,90.000,255,7,1787088355.986
117,signed,330117,133.000,3,79,1787088356.121
118,unsigned,,92.000,255,7,1787088356.215
118,signed,330118,131.000,3,79,1787088356.348
119,unsigned,,88.000,255,7,1787088356.439
119,signed,330119,126.000,3,79,1787088356.568
120,unsigned,,90.000,255,7,1787088356.660
120,signed,330120,131.000,3,79,1787088356.794
