seq,condition,counter,rtt_ms,resp_type,req_bytes,unix_time
179,signed,310179,136.000,3,79,1787087592.169
180,unsigned,,90.000,255,7,1787087592.261
180,signed,310180,179.000,3,79,1787087592.441
181,unsigned,,96.000,255,7,1787087592.538
181,signed,310181,155.000,3,79,1787087592.694
182,unsigned,,100.000,255,7,1787087592.795
182,signed,310182,148.000,3,79,1787087592.944
183,unsigned,,90.000,255,7,1787087593.038
183,signed,310183,141.000,3,79,1787087593.183
184,unsigned,,93.000,255,7,1787087593.279
184,signed,310184,140.000,3,79,1787087593.423
185,unsigned,,116.000,255,7,1787087593.540
185,signed,310185,131.000,3,79,1787087593.674
186,unsigned,,97.000,255,7,1787087593.773
186,signed,310186,133.000,3,79,1787087593.908
187,unsigned,,90.000,255,7,1787087594.000
187,signed,310187,135.000,3,79,1787087594.139
188,unsigned,,97.000,255,7,1787087594.239
188,signed,310188,150.000,3,79,1787087594.392
189,unsigned,,100.000,255,7,1787087594.493
189,signed,310189,146.000,3,79,1787087594.640
190,unsigned,,97.000,255,7,1787087594.740
190,signed,310190,156.000,3,79,1787087594.898
191,unsigned,,103.000,255,7,1787087595.003
191,signed,310191,127.000,3,79,1787087595.133
192,unsigned,,96.000,255,7,1787087595.231
192,signed,310192,149.000,3,79,1787087595.383
193,unsigned,,91.000,255,7,1787087595.477
193,signed,310193,137.000,3,79,1787087595.617
194,unsigned,,97.000,255,7,1787087595.717
194,signed,310194,140.000,3,79,1787087595.860
195,unsigned,,90.000,255,7,1787087595.953
195,signed,310195,134.000,3,79,1787087596.092
196,unsigned,,291.000,255,7,1787087596.386
196,signed,310196,149.000,3,79,1787087596.539
197,unsigned,,95.000,255,7,1787087596.637
197,signed,310197,129.000,3,79,1787087596.769
198,unsigned,,99.000,255,7,1787087596.871
198,signed,310198,143.000,3,79,1787087597.017
199,unsigned,,97.000,255,7,1787087597.114
199,signed,310199,153.000,3,79,1787087597.269
200,unsigned,,96.000,255,7,1787087597.367
200,signed,310200,130.000,3,79,1787087597.499
201,unsigned,,107.000,255,7,1787087597.607
201,signed,310201,155.000,3,79,1787087597.763
202,unsigned,,119.000,255,7,1787087597.884
202,signed,310202,148.000,3,79,1787087598.035
203,unsigned,,119.000,255,7,1787087598.157
203,signed,310203,131.000,3,79,1787087598.291
204,unsigned,,96.000,255,7,1787087598.390
204,signed,310204,137.000,3,79,1787087598.530
205,unsigned,,99.000,255,7,1787087598.630
205,signed,310205,163.000,3,79,1787087598.795
206,unsigned,,94.000,255,7,1787087598.892
206,signed,310206,128.000,3,79,1787087599.023
207,unsigned,,89.000,255,7,1787087599.114
207,signed,310207,134.000,3,79,1787087599.250
208,unsigned,,95.000,255,7,1787087599.349
208,signed,310208,171.000,3,79,1787087599.524
209,unsigned,,96.000,255,7,1787087599.622
209,signed,310209,130.000,3,79,1787087599.756
210,unsigned,,102.000,255,7,1787087599.861
210,signed,310210,162.000,3,79,1787087600.026
211,unsigned,,102.000,255,7,1787087600.131
211,signed,310211,130.000,3,79,1787087600.263
212,unsigned,,92.000,255,7,1787087600.356
212,signed,310212,140.000,3,79,1787087600.499
213,unsigned,,97.000,255,7,1787087600.598
213,signed,310213,160.000,3,79,1787087600.760
214,unsigned,,90.000,255,7,1787087600.853
214,signed,310214,143.000,3,79,1787087601.000
215,unsigned,,109.000,255,7,1787087601.112
215,signed,310215,147.000,3,79,1787087601.260
216,unsigned,,104.000,255,7,1787087601.366
216,signed,310216,136.000,3,79,1787087601.504
217,unsigned,,86.000,255,7,1787087601.595
217,signed,310217,160.000,3,79,1787087601.757
218,unsigned,,102.000,255,7,1787087601.861
218,signed,310218,132.000,3,79,1787087601.996
219,unsigned,,93.000,255,7,1787087602.091
219,signed,310219,145.000,3,79,1787087602.238
220,unsigned,,92.000,255,7,1787087602.331
220,signed,310220,142.000,3,79,1787087602.475
221,unsigned,,102.000,255,7,1787087602.579
221,signed,310221,129.000,3,79,1787087602.710
222,unsigned,,121.000,255,7,1787087602.834
222,signed,310222,159.000,3,79,1787087602.995
223,unsigned,,89.000,255,7,1787087603.086
223,signed,310223,134.000,3,79,1787087603.225
224,unsigned,,87.000,255,7,1787087603.316
224,signed,310224,125.000,3,79,1787087603.452
225,unsigned,,114.000,255,7,1787087603.570
225,signed,310225,154.000,3,79,1787087603.725
226,unsigned,,90.000,255,7,1787087603.817
226,signed,310226,169.000,3,79,1787087603.987
227,unsigned,,89.000,255,7,1787087604.079
227,signed,310227,141.000,3,79,1787087604.222
228,unsigned,,89.000,255,7,1787087604.314
228,signed,310228,130.000,3,79,1787087604.447
229,unsigned,,90.000,255,7,1787087604.539
229,signed,310229,130.000,3,79,1787087604.670
230,unsigned,,110.000,255,7,1787087604.781
230,signed,310230,130.000,3,79,1787087604.913
231,unsigned,,88.000,255,7,1787087605.003
231,signed,310231,143.000,3,79,1787087605.149
232,unsigned,,145.000,255,7,1787087605.297
232,signed,310232,143.000,3,79,1787087605.443
233,unsigned,,101.000,255,7,1787087605.546
233,signed,310233,131.000,3,79,1787087605.679
234,unsigned,,90.000,255,7,1787087605.770
234,signed,310234,137.000,3,79,1787087605.911
235,unsigned,,99.000,255,7,1787087606.012
235,signed,310235,143.000,3,79,1787087606.157
236,unsigned,,117.000,255,7,1787087606.277
236,signed,310236,164.000,3,79,1787087606.444
237,unsigned,,108.000,255,7,1787087606.554
237,signed,310237,129.000,3,79,1787087606.687
238,unsigned,,90.000,255,7,1787087606.779
238,signed,310238,129.000,3,79,1787087606.911
239,unsigned,,103.000,255,7,1787087607.017
239,signed,310239,220.000,3,79,1787087607.241
240,unsigned,,88.000,255,7,1787087607.331
240,signed,310240,159.000,3,79,1787087607.492
241,unsigned,,176.000,255,7,1787087607.671
241,signed,310241,134.000,3,79,1787087607.809
242,unsigned,,89.000,255,7,1787087607.900
242,signed,310242,145.000,3,79,1787087608.048
243,unsigned,,114.000,255,7,1787087608.163
243,signed,310243,151.000,3,79,1787087608.316
244,unsigned,,97.000,255,7,1787087608.414
244,signed,310244,130.000,3,79,1787087608.545
245,unsigned,,90.000,255,7,1787087608.637
245,signed,310245,178.000,3,79,1787087608.818
246,unsigned,,106.000,255,7,1787087608.926
246,signed,310246,131.000,3,79,1787087609.058
