seq,condition,counter,rtt_ms,resp_type,req_bytes,unix_time
266,unsigned,,29.042,255,7,1787092263.475
266,signed,430266,60.804,3,79,1787092263.536
267,unsigned,,29.539,255,7,1787092263.566
267,signed,430267,60.171,3,79,1787092263.626
268,unsigned,,29.033,255,7,1787092263.655
268,signed,430268,60.729,3,79,1787092263.716
269,unsigned,,29.027,255,7,1787092263.745
269,signed,430269,60.743,3,79,1787092263.806
270,unsigned,,29.065,255,7,1787092263.835
270,signed,430270,60.688,3,79,1787092263.896
271,unsigned,,29.038,255,7,1787092263.925
271,signed,430271,60.740,3,79,1787092263.986
272,unsigned,,29.060,255,7,1787092264.015
272,signed,430272,60.732,3,79,1787092264.076
273,unsigned,,29.045,255,7,1787092264.105
273,signed,430273,60.726,3,79,1787092264.166
274,unsigned,,29.042,255,7,1787092264.195
274,signed,430274,60.816,3,79,1787092264.256
275,unsigned,,28.930,255,7,1787092264.285
275,signed,430275,60.726,3,79,1787092264.346
276,unsigned,,29.020,255,7,1787092264.375
276,signed,430276,60.724,3,79,1787092264.436
277,unsigned,,29.050,255,7,1787092264.465
277,signed,430277,60.746,3,79,1787092264.526
278,unsigned,,29.041,255,7,1787092264.555
278,signed,430278,60.740,3,79,1787092264.616
279,unsigned,,28.997,255,7,1787092264.645
279,signed,430279,60.744,3,79,1787092264.706
280,unsigned,,29.046,255,7,1787092264.735
280,signed,430280,60.734,3,79,1787092264.796
281,unsigned,,29.014,255,7,1787092264.825
281,signed,430281,60.771,3,79,1787092264.886
282,unsigned,,29.018,255,7,1787092264.915
282,signed,430282,61.271,3,79,1787092264.977
283,unsigned,,28.527,255,7,1787092265.005
283,signed,430283,75.724,3,79,1787092265.081
284,unsigned,,29.067,255,7,1787092265.110
284,signed,430284,60.726,3,79,1787092265.171
285,unsigned,,29.064,255,7,1787092265.200
285,signed,430285,60.722,3,79,1787092265.261
286,unsigned,,29.069,255,7,1787092265.290
286,signed,430286,60.733,3,79,1787092265.351
287,unsigned,,29.064,255,7,1787092265.380
287,signed,430287,60.723,3,79,1787092265.441
288,unsigned,,29.065,255,7,1787092265.470
288,signed,430288,60.748,3,79,1787092265.531
289,unsigned,,29.046,255,7,1787092265.560
289,signed,430289,60.730,3,79,1787092265.621
290,unsigned,,29.064,255,7,1787092265.650
290,signed,430290,60.722,3,79,1787092265.711
291,unsigned,,29.075,255,7,1787092265.740
291,signed,430291,60.747,3,79,1787092265.801
292,unsigned,,29.035,255,7,1787092265.830
292,signed,430292,60.748,3,79,1787092265.891
293,unsigned,,29.041,255,7,1787092265.920
293,signed,430293,60.728,3,79,1787092265.981
294,unsigned,,29.080,255,7,1787092266.010
294,signed,430294,60.727,3,79,1787092266.071
295,unsigned,,29.579,255,7,1787092266.101
295,signed,430295,60.192,3,79,1787092266.161
296,unsigned,,44.051,255,7,1787092266.205
296,signed,430296,60.763,3,79,1787092266.266
297,unsigned,,29.028,255,7,1787092266.295
297,signed,430297,60.743,3,79,1787092266.356
298,unsigned,,29.055,255,7,1787092266.385
298,signed,430298,60.759,3,79,1787092266.446
299,unsigned,,29.030,255,7,1787092266.475
299,signed,430299,60.750,3,79,1787092266.536
300,unsigned,,28.998,255,7,1787092266.565
300,signed,430300,60.721,3,79,1787092266.626
301,unsigned,,29.061,255,7,1787092266.655
301,signed,430301,75.725,3,79,1787092266.731
