seq,condition,counter,rtt_ms,resp_type,req_bytes,unix_time
98,unsigned,,107.000,255,7,1787000283.918
98,signed,200098,151.000,3,79,1787000284.071
99,unsigned,,103.000,255,7,1787000284.175
99,signed,200099,143.000,3,79,1787000284.321
100,unsigned,,102.000,255,7,1787000284.425
100,signed,200100,143.000,3,79,1787000284.573
101,unsigned,,102.000,255,7,1787000284.679
101,signed,200101,144.000,3,79,1787000284.827
102,unsigned,,106.000,255,7,1787000284.935
102,signed,200102,142.000,3,79,1787000285.081
103,unsigned,,104.000,255,7,1787000285.187
103,signed,200103,144.000,3,79,1787000285.334
104,unsigned,,104.000,255,7,1787000285.440
104,signed,200104,146.000,3,79,1787000285.590
105,unsigned,,104.000,255,7,1787000285.696
105,signed,200105,147.000,3,79,1787000285.846
106,unsigned,,101.000,255,7,1787000285.949
106,signed,200106,145.000,3,79,1787000286.098
107,unsigned,,105.000,255,7,1787000286.207
107,signed,200107,144.000,3,79,1787000286.354
108,unsigned,,102.000,255,7,1787000286.461
108,signed,200108,145.000,3,79,1787000286.609
109,unsigned,,106.000,255,7,1787000286.717
109,signed,200109,144.000,3,79,1787000286.864
110,unsigned,,105.000,255,7,1787000286.971
110,signed,200110,144.000,3,79,1787000287.118
111,unsigned,,107.000,255,7,1787000287.227
111,signed,200111,147.000,3,79,1787000287.376
112,unsigned,,99.000,255,7,1787000287.479
112,signed,200112,143.000,3,79,1787000287.624
113,unsigned,,103.000,255,7,1787000287.730
113,signed,200113,141.000,3,79,1787000287.873
114,unsigned,,101.000,255,7,1787000287.976
114,signed,200114,140.000,3,79,1787000288.119
115,unsigned,,102.000,255,7,1787000288.224
115,signed,200115,146.000,3,79,1787000288.372
116,unsigned,,101.000,255,7,1787000288.476
116,signed,200116,143.000,3,79,1787000288.620
117,unsigned,,101.000,255,7,1787000288.724
117,signed,200117,152.000,3,79,1787000288.879
118,unsigned,,136.000,255,7,1787000289.017
118,signed,200118,153.000,3,79,1787000289.172
119,unsigned,,107.000,255,7,1787000289.282
119,signed,200119,143.000,3,79,1787000289.427
120,unsigned,,103.000,255,7,1787000289.533
120,signed,200120,141.000,3,79,1787000289.676
121,unsigned,,102.000,255,7,1787000289.780
121,signed,200121,148.000,3,79,1787000289.930
122,unsigned,,105.000,255,7,1787000290.038
122,signed,200122,142.000,3,79,1787000290.183
123,unsigned,,104.000,255,7,1787000290.290
123,signed,200123,145.000,3,79,1787000290.438
124,unsigned,,102.000,255,7,1787000290.542
124,signed,200124,144.000,3,79,1787000290.688
125,unsigned,,149.000,255,7,1787000290.840
125,signed,200125,149.000,3,79,1787000290.992
126,unsigned,,103.000,255,7,1787000291.098
126,signed,200126,142.000,3,79,1787000291.244
127,unsigned,,120.000,255,7,1787000291.367
127,signed,200127,174.000,3,79,1787000291.543
128,unsigned,,102.000,255,7,1787000291.647
128,signed,200128,165.000,3,79,1787000291.816
129,unsigned,,103.000,255,7,1787000291.922
129,signed,200129,138.000,3,79,1787000292.063
130,unsigned,,103.000,255,7,1787000292.169
130,signed,200130,144.000,3,79,1787000292.316
131,unsigned,,104.000,255,7,1787000292.424
131,signed,200131,145.000,3,79,1787000292.572
132,unsigned,,102.000,255,7,1787000292.677
132,signed,200132,144.000,3,79,1787000292.823
133,unsigned,,107.000,255,7,1787000292.931
133,signed,200133,175.000,3,79,1787000293.109
134,unsigned,,132.000,255,7,1787000293.244
134,signed,200134,144.000,3,79,1787000293.391
135,unsigned,,103.000,255,7,1787000293.497
135,signed,200135,146.000,3,79,1787000293.645
136,unsigned,,101.000,255,7,1787000293.749
136,signed,200136,144.000,3,79,1787000293.896
137,unsigned,,105.000,255,7,1787000294.005
137,signed,200137,140.000,3,79,1787000294.149
138,unsigned,,99.000,255,7,1787000294.251
138,signed,200138,144.000,3,79,1787000294.398
139,unsigned,,101.000,255,7,1787000294.502
139,signed,200139,147.000,3,79,1787000294.651
140,unsigned,,103.000,255,7,1787000294.757
140,signed,200140,142.000,3,79,1787000294.902
141,unsigned,,130.000,255,7,1787000295.034
141,signed,200141,149.000,3,79,1787000295.185
142,unsigned,,101.000,255,7,1787000295.288
142,signed,200142,144.000,3,79,1787000295.436
143,unsigned,,102.000,255,7,1787000295.540
143,signed,200143,143.000,3,79,1787000295.686
144,unsigned,,104.000,255,7,1787000295.792
144,signed,200144,153.000,3,79,1787000295.948
145,unsigned,,102.000,255,7,1787000296.053
145,signed,200145,140.000,3,79,1787000296.196
146,unsigned,,102.000,255,7,1787000296.301
146,signed,200146,143.000,3,79,1787000296.446
147,unsigned,,118.000,255,7,1787000296.567
147,signed,200147,142.000,3,79,1787000296.712
148,unsigned,,103.000,255,7,1787000296.819
148,signed,200148,147.000,3,79,1787000296.970
149,unsigned,,102.000,255,7,1787000297.076
149,signed,200149,141.000,3,79,1787000297.220
150,unsigned,,103.000,255,7,1787000297.326
150,signed,200150,142.000,3,79,1787000297.471
151,unsigned,,100.000,255,7,1787000297.576
151,signed,200151,144.000,3,79,1787000297.723
152,unsigned,,100.000,255,7,1787000297.827
152,signed,200152,146.000,3,79,1787000297.977
153,unsigned,,101.000,255,7,1787000298.081
153,signed,200153,149.000,3,79,1787000298.232
154,unsigned,,112.000,255,7,1787000298.348
154,signed,200154,146.000,3,79,1787000298.497
155,unsigned,,110.000,255,7,1787000298.610
155,signed,200155,146.000,3,79,1787000298.760
156,unsigned,,103.000,255,7,1787000298.866
156,signed,200156,142.000,3,79,1787000299.012
157,unsigned,,100.000,255,7,1787000299.116
157,signed,200157,143.000,3,79,1787000299.263
158,unsigned,,102.000,255,7,1787000299.368
158,signed,200158,144.000,3,79,1787000299.516
159,unsigned,,105.000,255,7,1787000299.624
159,signed,200159,144.000,3,79,1787000299.772
160,unsigned,,103.000,255,7,1787000299.879
160,signed,200160,140.000,3,79,1787000300.022
161,unsigned,,101.000,255,7,1787000300.127
161,signed,200161,142.000,3,79,1787000300.273
162,unsigned,,103.000,255,7,1787000300.378
162,signed,200162,142.000,3,79,1787000300.524
163,unsigned,,102.000,255,7,1787000300.630
163,signed,200163,143.000,3,79,1787000300.777
164,unsigned,,140.000,255,7,1787000300.920
164,signed,200164,146.000,3,79,1787000301.069
165,unsigned,,104.000,255,7,1787000301.176
165,signed,200165,144.000,3,79,1787000301.323
166,unsigned,,106.000,255,7,1787000301.433
166,signed,200166,144.000,3,79,1787000301.579
167,unsigned,,104.000,255,7,1787000301.687
167,signed,200167,142.000,3,79,1787000301.832
168,unsigned,,107.000,255,7,1787000301.943
168,signed,200168,146.000,3,79,1787000302.093
169,unsigned,,106.000,255,7,1787000302.201
169,signed,200169,142.000,3,79,1787000302.346
170,unsigned,,103.000,255,7,1787000302.452
170,signed,200170,148.000,3,79,1787000302.603
171,unsigned,,104.000,255,7,1787000302.711
171,signed,200171,199.000,3,79,1787000302.913
172,unsigned,,102.000,255,7,1787000303.018
172,signed,200172,144.000,3,79,1787000303.166
173,unsigned,,98.000,255,7,1787000303.268
173,signed,200173,143.000,3,79,1787000303.414
174,unsigned,,112.000,255,7,1787000303.529
174,signed,200174,144.000,3,79,1787000303.678
175,unsigned,,104.000,255,7,1787000303.785
175,signed,200175,143.000,3,79,1787000303.931
176,unsigned,,104.000,255,7,1787000304.039
176,signed,200176,139.000,3,79,1787000304.182
177,unsigned,,103.000,255,7,1787000304.288
177,signed,200177,144.000,3,79,1787000304.435
178,unsigned,,101.000,255,7,1787000304.539
178,signed,200178,143.000,3,79,1787000304.686
179,unsigned,,106.000,255,7,1787000304.794
179,signed,200179,159.000,3,79,1787000304.955
180,unsigned,,104.000,255,7,1787000305.061
180,signed,200180,144.000,3,79,1787000305.208
181,unsigned,,102.000,255,7,1787000305.314
181,signed,200181,140.000,3,79,1787000305.458
182,unsigned,,102.000,255,7,1787000305.564
182,signed,200182,141.000,3,79,1787000305.709
183,unsigned,,103.000,255,7,1787000305.815
183,signed,200183,143.000,3,79,1787000305.962
184,unsigned,,101.000,255,7,1787000306.065
184,signed,200184,137.000,3,79,1787000306.207
185,unsigned,,103.000,255,7,1787000306.312
185,signed,200185,141.000,3,79,1787000306.455
186,unsigned,,103.000,255,7,1787000306.560
186,signed,200186,144.000,3,79,1787000306.708
187,unsigned,,105.000,255,7,1787000306.816
187,signed,200187,145.000,3,79,1787000306.965
188,unsigned,,108.000,255,7,1787000307.076
188,signed,200188,144.000,3,79,1787000307.223
189,unsigned,,101.000,255,7,1787000307.327
189,signed,200189,144.000,3,79,1787000307.475
190,unsigned,,107.000,255,7,1787000307.586
190,signed,200190,140.000,3,79,1787000307.731
191,unsigned,,100.000,255,7,1787000307.834
191,signed,200191,143.000,3,79,1787000307.981
192,unsigned,,105.000,255,7,1787000308.088
192,signed,200192,203.000,3,79,1787000308.293
193,unsigned,,104.000,255,7,1787000308.400
193,signed,200193,148.000,3,79,1787000308.551
194,unsigned,,122.000,255,7,1787000308.676
194,signed,200194,146.000,3,79,1787000308.826
195,unsigned,,101.000,255,7,1787000308.929
195,signed,200195,145.000,3,79,1787000309.077
196,unsigned,,102.000,255,7,1787000309.181
196,signed,200196,144.000,3,79,1787000309.329
197,unsigned,,103.000,255,7,1787000309.435
197,signed,200197,180.000,3,79,1787000309.618
198,unsigned,,104.000,255,7,1787000309.725
198,signed,200198,142.000,3,79,1787000309.871
199,unsigned,,142.000,255,7,1787000310.016
199,signed,200199,142.000,3,79,1787000310.162
200,unsigned,,104.000,255,7,1787000310.269
200,signed,200200,140.000,3,79,1787000310.413
201,unsigned,,111.000,255,7,1787000310.527
201,signed,200201,145.000,3,79,1787000310.675
202,unsigned,,109.000,255,7,1787000310.786
202,signed,200202,195.000,3,79,1787000310.983
203,unsigned,,101.000,255,7,1787000311.087
203,signed,200203,146.000,3,79,1787000311.236
204,unsigned,,103.000,255,7,1787000311.341
204,signed,200204,141.000,3,79,1787000311.486
205,unsigned,,102.000,255,7,1787000311.591
205,signed,200205,159.000,3,79,1787000311.753
206,unsigned,,104.000,255,7,1787000311.861
206,signed,200206,141.000,3,79,1787000312.005
207,unsigned,,99.000,255,7,1787000312.107
207,signed,200207,142.000,3,79,1787000312.252
208,unsigned,,111.000,255,7,1787000312.367
208,signed,200208,144.000,3,79,1787000312.514
209,unsigned,,103.000,255,7,1787000312.620
209,signed,200209,147.000,3,79,1787000312.770
210,unsigned,,105.000,255,7,1787000312.878
210,signed,200210,147.000,3,79,1787000313.028
211,unsigned,,102.000,255,7,1787000313.132
211,signed,200211,160.000,3,79,1787000313.295
212,unsigned,,102.000,255,7,1787000313.398
212,signed,200212,149.000,3,79,1787000313.550
213,unsigned,,103.000,255,7,1787000313.656
213,signed,200213,143.000,3,79,1787000313.802
214,unsigned,,109.000,255,7,1787000313.913
214,signed,200214,151.000,3,79,1787000314.066
215,unsigned,,102.000,255,7,1787000314.171
215,signed,200215,187.000,3,79,1787000314.361
216,unsigned,,106.000,255,7,1787000314.468
216,signed,200216,145.000,3,79,1787000314.617
217,unsigned,,101.000,255,7,1787000314.721
217,signed,200217,142.000,3,79,1787000314.866
218,unsigned,,103.000,255,7,1787000314.971
218,signed,200218,184.000,3,79,1787000315.159
219,unsigned,,104.000,255,7,1787000315.265
219,signed,200219,145.000,3,79,1787000315.412
220,unsigned,,104.000,255,7,1787000315.518
220,signed,200220,145.000,3,79,1787000315.666
221,unsigned,,104.000,255,7,1787000315.773
221,signed,200221,147.000,3,79,1787000315.924
222,unsigned,,103.000,255,7,1787000316.030
222,signed,200222,143.000,3,79,1787000316.176
223,unsigned,,102.000,255,7,1787000316.281
223,signed,200223,142.000,3,79,1787000316.427
224,unsigned,,104.000,255,7,1787000316.534
224,signed,200224,144.000,3,79,1787000316.679
225,unsigned,,104.000,255,7,1787000316.785
225,signed,200225,148.000,3,79,1787000316.935
226,unsigned,,105.000,255,7,1787000317.041
226,signed,200226,145.000,3,79,1787000317.189
227,unsigned,,112.000,255,7,1787000317.304
227,signed,200227,143.000,3,79,1787000317.450
228,unsigned,,106.000,255,7,1787000317.557
228,signed,200228,145.000,3,79,1787000317.704
229,unsigned,,99.000,255,7,1787000317.806
229,signed,200229,143.000,3,79,1787000317.952
230,unsigned,,103.000,255,7,1787000318.057
230,signed,200230,147.000,3,79,1787000318.206
231,unsigned,,102.000,255,7,1787000318.311
231,signed,200231,145.000,3,79,1787000318.458
232,unsigned,,105.000,255,7,1787000318.565
232,signed,200232,140.000,3,79,1787000318.707
233,unsigned,,120.000,255,7,1787000318.830
233,signed,200233,141.000,3,79,1787000318.974
234,unsigned,,103.000,255,7,1787000319.079
234,signed,200234,142.000,3,79,1787000319.224
235,unsigned,,105.000,255,7,1787000319.331
235,signed,200235,147.000,3,79,1787000319.480
236,unsigned,,100.000,255,7,1787000319.583
236,signed,200236,145.000,3,79,1787000319.731
237,unsigned,,101.000,255,7,1787000319.835
237,signed,200237,143.000,3,79,1787000319.982
238,unsigned,,102.000,255,7,1787000320.087
238,signed,200238,143.000,3,79,1787000320.233
239,unsigned,,100.000,255,7,1787000320.337
239,signed,200239,144.000,3,79,1787000320.484
240,unsigned,,100.000,255,7,1787000320.587
240,signed,200240,142.000,3,79,1787000320.730
241,unsigned,,108.000,255,7,1787000320.839
241,signed,200241,146.000,3,79,1787000320.987
242,unsigned,,111.000,255,7,1787000321.103
242,signed,200242,144.000,3,79,1787000321.249
243,unsigned,,119.000,255,7,1787000321.369
243,signed,200243,144.000,3,79,1787000321.515
244,unsigned,,103.000,255,7,1787000321.619
244,signed,200244,144.000,3,79,1787000321.763
245,unsigned,,102.000,255,7,1787000321.866
245,signed,200245,148.000,3,79,1787000322.016
246,unsigned,,102.000,255,7,1787000322.119
246,signed,200246,145.000,3,79,1787000322.266
247,unsigned,,103.000,255,7,1787000322.370
247,signed,200247,144.000,3,79,1787000322.516
248,unsigned,,108.000,255,7,1787000322.626
248,signed,200248,144.000,3,79,1787000322.773
249,unsigned,,103.000,255,7,1787000322.880
249,signed,200249,143.000,3,79,1787000323.025
250,unsigned,,104.000,255,7,1787000323.129
250,signed,200250,147.000,3,79,1787000323.278
251,unsigned,,103.000,255,7,1787000323.382
251,signed,200251,144.000,3,79,1787000323.528
252,unsigned,,101.000,255,7,1787000323.631
252,signed,200252,144.000,3,79,1787000323.777
253,unsigned,,102.000,255,7,1787000323.880
253,signed,200253,144.000,3,79,1787000324.026
254,unsigned,,107.000,255,7,1787000324.135
254,signed,200254,144.000,3,79,1787000324.280
255,unsigned,,102.000,255,7,1787000324.385
255,signed,200255,146.000,3,79,1787000324.532
256,unsigned,,107.000,255,7,1787000324.640
256,signed,200256,168.000,3,79,1787000324.810
257,unsigned,,104.000,255,7,1787000324.916
257,signed,200257,144.000,3,79,1787000325.063
258,unsigned,,168.000,255,7,1787000325.234
258,signed,200258,144.000,3,79,1787000325.379
259,unsigned,,106.000,255,7,1787000325.485
259,signed,200259,148.000,3,79,1787000325.635
260,unsigned,,102.000,255,7,1787000325.738
260,signed,200260,146.000,3,79,1787000325.884
261,unsigned,,111.000,255,7,1787000325.996
261,signed,200261,151.000,3,79,1787000326.148
262,unsigned,,103.000,255,7,1787000326.252
262,signed,200262,142.000,3,79,1787000326.396
263,unsigned,,105.000,255,7,1787000326.501
263,signed,200263,140.000,3,79,1787000326.644
264,unsigned,,105.000,255,7,1787000326.749
264,signed,200264,146.000,3,79,1787000326.897
265,unsigned,,104.000,255,7,1787000327.002
265,signed,200265,148.000,3,79,1787000327.151
266,unsigned,,102.000,255,7,1787000327.254
266,signed,200266,143.000,3,79,1787000327.399
267,unsigned,,105.000,255,7,1787000327.505
267,signed,200267,143.000,3,79,1787000327.650
268,unsigned,,102.000,255,7,1787000327.752
268,signed,200268,144.000,3,79,1787000327.896
269,unsigned,,105.000,255,7,1787000328.001
269,signed,200269,144.000,3,79,1787000328.146
270,unsigned,,105.000,255,7,1787000328.252
270,signed,200270,145.000,3,79,1787000328.399
271,unsigned,,105.000,255,7,1787000328.507
271,signed,200271,143.000,3,79,1787000328.653
272,unsigned,,104.000,255,7,1787000328.760
272,signed,200272,145.000,3,79,1787000328.909
273,unsigned,,103.000,255,7,1787000329.016
273,signed,200273,143.000,3,79,1787000329.161
274,unsigned,,104.000,255,7,1787000329.266
274,signed,200274,146.000,3,79,1787000329.414
275,unsigned,,105.000,255,7,1787000329.520
275,signed,200275,142.000,3,79,1787000329.665
276,unsigned,,106.000,255,7,1787000329.774
